Common misconceptions,Description,Google hits,Sub Category,Category,fkey,Source Name,source
Black belts are masters,"Introduced only in 1880, in Judo, to show competency of basic techniques. ","8,030,000",Sport,Sport,Sport to Black belts are masters,,
Black holes absorb everything,A black hole *is* a hole in the metric of space time from which light cannot escape. But it is not a portal to another dimension,"303,000",Science,Science,Science to Black holes absorb everything,NASA,http://imagine.gsfc.nasa.gov/docs/science/know_l2/black_holes.html
Blood is blue under the skin,"Blood is always red, misconception is based on diagrams showing the difference between veins and arteries and human colour perception.","84,800",Science,Science,Science to Blood is blue under the skin,"Applied Optics, Michigan State University",https://www.imt.liu.se/edu/courses/TBMT36/pdf/blue.pdf
Brainwashing,Hogwash. No evidence that people’s minds can be changed against their will,"5,510,000",Mind,Mind,Mind to Brainwashing,Mythbusters,"https://en.wikipedia.org/wiki/Brainwashing#:~:text=Marks%20wrote%20in%20his%20book,catatonia%2C%20making%20any%20operational%20use"
Bulls hate red.,Bulls are colour-blind. They actually react to motion as a perceived threat.,"7,120",Nature,Science,Science to Bulls hate red.,University of Tennessee,http://wayback.archive.org/web/jsp/Interstitial.jsp?seconds=5&date=1214357302000&url=http%3A%2F%2Fiacuc.tennessee.edu%2Fpdf%2FPolicies-AnimalCare%2FCattle-BasicCare.pdf&target=http%3A%2F%2Fweb.archive.org%2Fweb%2F20080625012822%2Fhttp%3A%2F%2Fiacuc.tennessee.edu%2Fpdf%2FPolicies-AnimalCare%2FCattle-BasicCare.pdf
Caffeine dehydrates you,Not really. The diuretic effect of caffeine is offset by the amount of water in the caffeinated drinks.,"29,400",Health,Medicine,Medicine to Caffeine dehydrates you,"Journal of Human Nutrition and Dietetics, Exercise and Sports Science Review",http://onlinelibrary.wiley.com/doi/10.1046/j.1365-277X.2003.00477.x/abstract;jsessionid=FEF7ACBFCA00771BBF41FD39B24DFAE4.d02t04
Catching warts from toads,Warts are unique to humans. Toads don't have them.,"121,000",Disease,Medicine,Medicine to Catching warts from toads,Burke Museum,http://www.burkemuseum.org/blog/frog-myths
Chastity Belts,Not used to prevent a wife's adultery in medieval times. Instead invented by 19th century prudes to prevent 'dangerous' masturbation. ,"35,100",History,Culture,Culture to Chastity Belts,BBC,http://news.bbc.co.uk/dna/place-lancashire/plain/A2430118
Chemical Imbalance,Simplistic. Thank pharma for the idea that major depression is caused by an imbalance of neurotransmitters likeserotonin. ,"1,580,000",Mind,Mind,Mind to Chemical Imbalance,Society,http://link.springer.com/article/10.1007/s12115-007-9047-3
Chewing gum takes 7 years to digest,"It is indigestible, but passes straight through.","46,300",Health,Medicine,Medicine to Chewing gum takes 7 years to digest,Scientific American,http://www.scientificamerican.com/article.cfm?id=fact-or-fiction-chewing-gum-takes-seven-years-to-digest
Cooking removes alcohol,Partly true. But studies show not all burns off.,"16,300",Cooking,Food,Food to Cooking removes alcohol,NY Times,http://dinersjournal.blogs.nytimes.com/2008/02/19/six-kitchen-myths-that-deserve-debunking/
Different parts of the tongue taste different tastes,"There is no 'map', and there are 5 primary tastes: bitter, sour, salty, sweet and umami (savoury/meaty).","268,000",Science,Science,Science to Different parts of the tongue taste different tastes,"Nature, Geoffrey Campbell-Platt ""Food Science and Technology""",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1571047/?tool=pmcentrez
Dogs sweat by salivating,They regulate temperature through panting but sweat through footpads.,"1,280,000",Nature,Science,Science to Dogs sweat by salivating,BMJ (Disproved in 1899!),http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2462491/?page=6
Don't touch baby birds!,Birds have a limited sense of smell. Probably more harmful to leave them to the cats but it's all relative.,"154,000",Nature,Science,Science to Don't touch baby birds!,"Knox News, Snopes, Scientific American",http://www.knoxnews.com/news/2008/jun/16/fine-feathered-infirmary-for-sick-songbirds/
Drink 8 glasses of water a day!,"Not necessary for everyone; subjective and dependant on individual weight, environment, what you're wearing and more.",242000,Health,Medicine,Medicine to Drink 8 glasses of water a day!,"NPR, Die Zeit",http://www.npr.org/2008/04/03/89323934/five-myths-about-drinking-water
Dropping a penny from a tall building could kill someone,Terminal velocity is 30-50mph which isn't fast enough. It would hurt though.,"1,870,000",Physics,Science,Science to Dropping a penny from a tall building could kill someone,ABC,http://www.gantless.com/paper.html
Eating before swimming is dangerous,Doesn't increase risk of cramps; alcohol is the biggest increase in risk.,"7,460,000",Health,Medicine,Medicine to Eating before swimming is dangerous,NY Times,http://www.nytimes.com/2005/06/28/health/28real.html
Edison invented the lightbulb,"He made the first practical lightbulb, but it was obsolete within a year. England's Joseph Swan patented a design before him.","1,510,000",Technology - Inventions,Technology,Technology to Edison invented the lightbulb,Smithsonian Institution,http://americanhistory.si.edu/lighting/bios/swan.htm
Einstein failed maths,"Nope. He failed an entrance exam for a school, two years early, and still excelled in maths.","2,130,000",History,Culture,Culture to Einstein failed maths,TIME,"http://content.time.com/time/specials/packages/article/0,28804,1936731_1936743_1936758,00.html"
Elementary My Dear Watson,Not in the original stories. First used in the 1929 film.,"329,000",Literature,Language,Language to Elementary My Dear Watson,"Agnieszka Jasnowska: Elementary, My Dear Watson: The Case of Masculinity in the Sherlock Holmes Stories",http://leeds.academia.edu/AgnieszkaJasnowska/Papers/133195/Elementary_My_Dear_Watson_The_Case_of_Masculinity_in_the_Sherlock_Holmes_Stories
Evolution is always creating more complex organisms,"Not always a simple to complex progression: sometimes a smaller genome will be evolved, but 'devolution' is a misnomer.","10,200",Science/Nature,Science,Science to Evolution is always creating more complex organisms,"Scientific American, Cell",http://www.scientificamerican.com/article.cfm?id=is-the-human-race-evolvin
"Evolution is just a ""theory""","In science, the word theory  means something more than a conjecture ","899,000",Science/Nature,Science,"Science to Evolution is just a ""theory""","University of Montana, American Institute of Biological Sciences, University of California - Berkeley",http://evoled.dbs.umt.edu/lessons/miscon.htm#3
Flushed water rotates the otherway in the Southern Hemisphere,"The Coriolis effect,  induced by the Earth's rotation, does not affect the small amounts of water in toilets, bathtubs.","1,850,000",Physics,Science,Science to Flushed water rotates the otherway in the Southern Hemisphere,The Library of Congress,https://www.loc.gov/rr/scitech/mysteries/coriolis.html
George Washington smoked cannabis,He grew hemp to make rope and clothes but there's no evidence to suggest he smoked a fatty most nights.,"1,460,000",Drugs,Medicine,Medicine to George Washington smoked cannabis,"The Straight Dope, George Washington Diaries",http://www.straightdope.com/columns/read/2912/did-george-washington-and-thomas-jefferson-grow-marijuana
"Get ""Closure""","No evidence this mythical emotional end state is ever achieved by victims of trauma, bereavement or loss.","33,400,000",Mind,Mind,"Mind to Get ""Closure""",The International Journal of Transitional Justice,http://ijtj.oxfordjournals.org/content/5/1/1
Glass is a liquid,"Has both solid and liquid properties. ""This is why stained glass windows are thicker at the bottom"" Not true though. Bad manufacturing process is the cause.","1,060,000",Science,Science,Science to Glass is a liquid,"NY Times, American Journal of Physics",http://www.nytimes.com/2008/07/29/science/29glass.html?_r=1
Goldfish memory span,"While not the smartest in the animal kingdom, Goldfish do boast a better memory than most politicans.","38,700",Nature,Science,Science to Goldfish memory span,"ABC, The Times",http://www.abc.net.au/news/2008-02-19/goldfish-three-second-memory-myth-busted/1046710
Great Wall of China visible from Space,Myth. ,"1,110,000",Science,Science,Science to Great Wall of China visible from Space,NASA,http://www.nasa.gov/vision/space/workinginspace/great_wall.html
Hair & fingernails grow after death,"The skin dries and shrinks away, giving the appearance of growth","9,850",Health,Medicine,Medicine to Hair & fingernails grow after death,"Graham-Brown, Robin; Tony Burns (2007). Lecture Notes on Dermatology. Blackwell. p.6","http://books.google.co.uk/books?id=HW9HmKhslfYC&printsec=frontcover&dq=Graham-Brown,+Robin;+Tony+Burns+(2007).+Lecture+Notes+on+Dermatology.+Blackwell.&hl=en&sa=X&ei=LPYDUPuLNMOx0AWE38W5Bw&ved=0CD4Q6AEwAQ#v=onepage&q=Graham-Brown%2C%20Robin%3B%20Tony%20Burns%20(2007).%20Lecture%20Notes%20on%20Dermatology.%20Blackwell.&f=false"
"Hair products can ""repair"" your hair",Nothing can fix split ends or damaged hair. They can prevent damage and make hair look better though.,"1,800,000",Health,Medicine,"Medicine to Hair products can ""repair"" your hair","CBC, Glamour",http://www.cbc.ca/streetcents/features/front_question_of_the_week.html
Hard-wired,The brain is actually incredibly fluid & plastic. So virtually no psychological capacities are ‘hard-wired’ from birth.,"23,400,000",Mind,Mind,Mind to Hard-wired,Cold Spring Harbour Laboratory,https://www.dnalc.org/view/1084-Is-the-Brain-Hardwired-.html
Henry Ford invented the car,"He just improved the design, mostly by supporting the work of his employees.","2,870,000",Technology - Inventions,Technology,Technology to Henry Ford invented the car,My Forty Years with Ford' by Charles E. Sorensen,http://books.google.co.uk/books?id=fv9WPvAXpGMC&pg=PA128&redir_esc=y#v=onepage&q&f=false
Houseflies live for 24 hours,Average lifespan is actually about a month. Maggots hatch within 24 hours.,"55,600",Nature,Science,Science to Houseflies live for 24 hours,"Forest Preserve District of Cook County, North Carolina Pest Management Program",http://www.newton.dep.anl.gov/natbltn/400-499/nb453.htm
Human brains are special because they're huge,"There might be other reasons why human brains are unique, but focusing on size ignores important possibilities.","34,500,000",Science,Science,Science to Human brains are special because they're huge,Nature,http://www.nature.com/news/the-science-myths-that-will-not-die-1.19022#/b1
Humans and dinosaurs co-existed,"Despite 59% of US adults thinking they did, we actually missed each other by ~63 million years.","259,000",Science/Nature,Science,Science to Humans and dinosaurs co-existed,Science Daily,http://www.sciencedaily.com/releases/2009/03/090312115133.htm
Humans evolved from chimpanzees,"No - they are our closest living genetic relatives, along with bonobos. A shared ancestor last lived 5-8 million years ago.","300,000",Science/Nature,Science,Science to Humans evolved from chimpanzees,"PBS, National Geographic, Wilson & Reeder's Mammal Species of the World (3rd ed.)",http://www.pbs.org/wgbh/evolution/library/faq/cat02.html#Q01
"If you've used LSD, you're legally insane.",Urban myth,"898,000",Drugs,Medicine,"Medicine to If you've used LSD, you're legally insane.","DEA, Erowid, Snopes.com",http://www.justice.gov/osg/briefs/1987/sg870439.txt
Immaculate Conception means Virgin Birth,Separate ideas. Immaculate conception means Mary was not subject to original sin. Virgin birth means Mary miraculously conceived,"118,000",Religion,Culture,Culture to Immaculate Conception means Virgin Birth,BBC,http://www.bbc.co.uk/religion/religions/christianity/beliefs/immaculateconception.shtml
Iron Maidens,Never were medieval torture devices. But 18th century fakes created for sensational circuses. ,"414,000",History,Culture,Culture to Iron Maidens,"Graff, Klaus. ",http://web.archive.org/web/20040828060227/http://www.mondzauberin.de/einstieg/informativ/essays/essays3/BerlinOnline+Die+unsichtbare+H/vortrag.html
Islamic matyrs receive 72 virgins,"Nowhere in the Qu'ran, but is reported elsewhere, but is a matter of debate.","2,270,000",Religion,Culture,Culture to Islamic matyrs receive 72 virgins,Guardian,http://www.guardian.co.uk/books/2002/jan/12/books.guardianreview5
Jesus was born on December 25th,"December 25 was declared official celebration date in 350CE. Could be guesstimate based on conception, or winter solstice, or Yule.","8,230,000",Religion,Culture,Culture to Jesus was born on December 25th,BBC,http://www.bbc.co.uk/guides/zwnsbk7
Lie detector ,"No such machine. A polygraph test detects arousal, not lies. And can be easily faked.","3,510,000",Law,Culture,Culture to Lie detector ,American Psychological Association,http://psycnet.apa.org/index.cfm?fa=search.displayRecord&uid=1998-07613-000
Lightning never strikes twice,No reason why it wouldn't; the Empire State building gets struck about 100 times per year.,"945,000",Physics,Science,Science to Lightning never strikes twice,The National Severe Storms Laboratory,http://www.nssl.noaa.gov/education/svrwx101/lightning/faq/
Lincoln freed all slaves,He instigated the process but full abolition didn't occur until three years later after the Emancipation Proclamation.,"4,080,000",History,Culture,Culture to Lincoln freed all slaves,Time Magazine,"http://www.time.com/time/nation/article/0,8599,1815936,00.html"
LSD stays in the spinal fluid for years,LSD is eliminated by the body in under 10 hours.,"39,000",Drugs,Medicine,Medicine to LSD stays in the spinal fluid for years,"Erowid, Medscape, PubMed",http://www.erowid.org/chemicals/lsd/lsd_myth1.shtml
Marijuana is a gateway drug,Most pot users don't go on to harder drugs. Those who do are probably influenced by social and other factors.,"767,000",Drugs,Medicine,Medicine to Marijuana is a gateway drug,"UK Govt., Substance Use and Misuse",http://www.drugabuse.gov/publications/marijuana/marijuana-gateway-drug
Men think about sex every 7 seconds,It's not been measured. But is greatly exaggerated.,"309,000",Sex,Biology,Biology to Men think about sex every 7 seconds,"LiveScience, The Times",http://www.livescience.com/14040-men-sex-thoughts.html
Milk increases mucous,"In most people, just a placebo effect. There's no need to avoid dairy if you have a cold.","10,100",Disease,Medicine,Medicine to Milk increases mucous,The American Review of Respiratory Disease,http://www.ncbi.nlm.nih.gov/pubmed/2154152
Missing Persons Reports,"Police do not demand a 24 hour period before they accept a missing persons report, especially if violence is involved.","634,000",Law,Culture,Culture to Missing Persons Reports,"Augusta Chronicle, UK Govt., AU Govt., Canadian Centre for Child Protection, Canadian Centre for Information on Missing Adults",http://chronicle.augusta.com/stories/2008/11/17/met_483813.shtml
Most body heat is lost through the head,Only in infants. Or if the head is the only uncovered part of the body.,"434,000",Health,Medicine,Medicine to Most body heat is lost through the head,"Anesthesiology, The Guardian, BMJ",http://journals.lww.com/anesthesiology/Abstract/1990/10000/Thermoregulatory_Vasoconstriction_Decreases.11.aspx
MSG causes headaches,Flavour enhancer monosodium glutamate does not generally cause headaches. Though some migraine sufferers can be triggered by glutamate.,"1,850,000",Science,Science,Science to MSG causes headaches,"Tarasoff L, Monosodium L-glutamate: A double-blind study and review ",http://www.sciencedirect.com/science/article/pii/027869159390012N
Mussolini's trains ran on time,Fascist propaganda. They did run on time but only because of work done before his reign.,"141,000",History,Culture,Culture to Mussolini's trains ran on time,The Independant,http://www.independent.co.uk/opinion/rear-window-making-italy-work-did-mussolini-really-get-the-trains-running-on-time-1367688.html
Napoleon was short,"A tall tale. At 5'7"", he was actually above average height for a Frenchman of the time.","33,400,000",History,Culture,Culture to Napoleon was short,Napoleon Foundation,http://www.napoleon.org/fr/salle_lecture/articles/files/Taillenapo_RIN_89_oct1963_2006.asp
Oil stops pasta sticking,Does not prevent sticking. But it can stop the water foaming or boiling over.,"5,200,000",Cooking,Food,Food to Oil stops pasta sticking,Fine Cooking,http://www.finecooking.com/articles/cooking-pasta-properly.aspx
Pilgrims wore all black,"Nope. They sported late Elizabethan in-colours: reds, yellows, purples and greens. And no buckle hats!","1,490,000",History,Culture,Culture to Pilgrims wore all black,Plimoth Plantation Museum,http://www.plimoth.org/learn/just-kids/homework-help/what-wear
Planes dump toilet waste at high altitude,"They're emptied on ground. Blue ice is caused accidentally. Trains used to dump on the tracks, though. Dirty trains.","3,700,000",Transportation,Technology,Technology to Planes dump toilet waste at high altitude,"HowStuffWorks, WSJ",http://science.howstuffworks.com/transport/flight/modern/question314.htm
Refreezing Food = Bad,"Whether raw or cooked, as long as the food was thawed and hasn't spoiled, it's okay to refreeze. Exception: defrosted raw meat or fish.","111,000",Food,Food,Food to Refreezing Food = Bad,NY Times,http://well.blogs.nytimes.com/2015/10/02/ask-well-a-myth-about-refreezing-foods/?smid=nytnow-share&smprod=nytnow&_r=0
Rule of thumb,Not from a law allowing a man to hit his wife with a stick no thicker than his thumb. ,"1,040,000",Etymology,Language,Language to Rule of thumb,"Jennifer Freyd and JQ Johnson, University of Oregon",http://dynamic.uoregon.edu/~jjf/essays/ruleofthumb.html
Salieri vs Mozart,They were friends with a little rivalry. Nothing more.,"5,230",History,Culture,Culture to Salieri vs Mozart,NY Times,http://www.nytimes.com/2004/12/28/arts/music/28sali.html?ei=5088&en=7d60688cd81285e2&ex=1261976400&adxnnl=1&partner=rssnyt&adxnnlx=1127322281-E5bLYNdgoI5tijOhmwxecA
Satan rules Hell,Doesn't say this anywhere in the Bible.,"36,600,000",Religion,Culture,Culture to Satan rules Hell,Jehovah's Witnesses,https://www.jw.org/en/publications/magazines/g201306/is-satan-a-real-person/#?insight[search_id]=c8702e92-fd1d-401f-a6df-ae41bea1f1a3&insight[search_result_index]=2
Schizophrenia is multiple personalities,"Etymologically, it means ""split-mind"", but dissociative ""multiple personality"" disorders are different.",80,Psychology,Mind,Mind to Schizophrenia is multiple personalities,National Alliance on Mental Illness,http://www.nami.org/Template.cfm?Section=Schizophrenia9&Template=/ContentManagement/ContentDisplay.cfm&ContentID=118290
Scientific Proof,"Proof is incompatible with science which is, by its nature, provisional and self-correcting. Only Maths has proofs. ","243,000,000",Science,Science,Science to Scientific Proof,School Science and Mathematics,http://onlinelibrary.wiley.com/doi/10.1111/j.1949-8594.1996.tb10205.x/abstract
Searing meat seals in moisture.,Nope. It's for flavour.,"19,100",Cooking,Food,Food to Searing meat seals in moisture.,Guardian,http://www.guardian.co.uk/lifeandstyle/wordofmouth/2010/jan/26/should-you-sear-steak
Seasons are caused by the Earth's distance from the Sun.,They're actually related to the 23 degree tilt of the Earth's axis.,"5,070",Science,Science,Science to Seasons are caused by the Earth's distance from the Sun.,NASA,http://istp.gsfc.nasa.gov/istp/outreach/sunearthmiscons.html
Sex reduces athletic performance ,"No physiological basis to this, could even help male athletes because of increased testosterone.","27,400",Sex,Biology,Biology to Sex reduces athletic performance ,"Nature, National Geographic",http://www.nature.com/news/2006/060609/full/news060605-16.html
Sharks don't get cancer.,Oh yes they do. Particularly skin cancer.,"121,000",Nature,Science,Science to Sharks don't get cancer.,Cancer Research,http://cancerres.aacrjournals.org/content/64/23/8485
Shaving your hair makes it thicker,"Regrown hair isn't thicker, coarser, or darker, it just appears so because it's no longer tapered.","43,500",Beauty,Mind,Mind to Shaving your hair makes it thicker,"Snopes, Mayoclinic",http://snopes.com/oldwives/hairgrow.asp
Single genes exist for different personality traits,Gross oversimplification; there is no 'gay gene' etc.,"388,000",Genetics,Biology,Biology to Single genes exist for different personality traits,"The Year in Cognitive Neuroscience, Guardian, BBC News",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2805335/pdf/nyas1156-0001.pdf
Sleeping with an electric fan on can be deadly,Big myth in Korea. Very unlikely.,"159,000",Science,Science,Science to Sleeping with an electric fan on can be deadly,"Korea Consumer Protection Board, JoongAng Daily, Esquire",http://web.archive.org/web/20070927051420/http://english.cpb.or.kr/user/bbs/code02_detail.php?av_jbno=2006071800002
Some people have a photographic memory,"No hard scientific evidence, but memory that mimics a camera is unlikely. Some people just have great memories","1,700,000",Psychology,Mind,Mind to Some people have a photographic memory,"Indianpublicmedia.org, Slate",http://indianapublicmedia.org/amomentofscience/photographic-memory/
Steep Learning Curve,"Actually means a skill that iseasy and quick to learn.Think about it. The curve justgoes up and up. ","7,770,000",Mind,Mind,Mind to Steep Learning Curve,Postgraduate Medical Journal,http://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&Cmd=ShowDetailView&TermToSearch=18057179
Sugar makes children hyperactive,Studies have disproved this. ADHD still occurs in children with sugar-free diets.,"4,400",Health,Medicine,Medicine to Sugar makes children hyperactive,"BMJ, Fullerton-Smith, Jill (2007). The Truth About Food. Bloomsbury. pp. 115–117.",http://www.bmj.com/content/337/bmj.a2769
Sushi is raw fish,Lost in translation. Sushi means 'sour rice' and does not always feature fish.  Sashimi means 'raw' - but isn't just fish.,"63,100",Cooking,Food,Food to Sushi is raw fish,"Baltimore Sun, Japan Guide",http://articles.baltimoresun.com/2012-06-18/entertainment/bal-international-sushi-day_1_ra-sushi-bar-restaurant-vinegared-rice-raw-fish
The 'Dark Ages',The period between the decline of the Roman Empire and the Renaissance was not that dark or backward. An historical cliche.,"5,940,000",History,Culture,Culture to The 'Dark Ages',National Review,http://www.nationalreview.com/articles/227744/not-so-dark-ages-ryan-sayre-patrico
The 5 Second Rule,"Amount of bacteria transferred
to fallen food depends on how contaminated the floor is, not how long the food stays there.","96,000,000",Food,Food,Food to The 5 Second Rule,Journal of Applied Microbiology,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2672.2006.03171.x/full
The First Thanksgiving,Celebrations were recorded 50 years before the 'first' Thanksgiving at Plymouth Colony.,"1,160,000",History,Culture,Culture to The First Thanksgiving,NY Times,http://www.nytimes.com/2008/11/26/opinion/26davis.html?_r=1&th&emc=th
The Left and right brains have different capabilities,No solid functional division; some functions activate some areas more than others. Left brain can learn 'right brain' functions and vice-versa.,"2,600,000",Brain,Biology,Biology to The Left and right brains have different capabilities,Neuroscience Nature reviews ,http://www.nature.com/nrn/journal/v7/n5/full/nrn1907.html
The Oceans are blue because they reflect the sky,Nope. Absorption and scattering of light causes blue colour,644,Physics,Science,Science to The Oceans are blue because they reflect the sky,"Journal of Chemical Education, Physics Today",http://inside.mines.edu/fs_home/dwu/classes/CH353/study/Why%20is%20Water%20Blue.pdf
The Vomitorium,Not a room Romans used during Bacchanalian binges but the name for the entrance to a stadium. Vomiting was not a regular part of Roman dining customs.,"14,800",History,Culture,Culture to The Vomitorium,"McKeown, J.C. (2010). A Cabinet of Roman Curiosities: Strange Tales and Surprising Facts from the World’s Greatest Empire",http://books.google.co.uk/books?id=YGYwlMZ3ursC&pg=PA153&dq=vomitorium+misconception&hl=en#v=onepage&q=vomitorium%20misconception&f=false
There is no gravity on the International Space Station,Gravity is everywhere. Earth's gravity is pretty strong on the ISS - NASA says a person who weighs 100lb on earth still weighs 90lb there.,"1,540,000",Science,Science,Science to There is no gravity on the International Space Station,NASA,http://www.nasa.gov/audience/forstudents/k-4/stories/nasa-knows/what-is-microgravity-k4.html
"Thomas Crapper invented ""crap""",Actually it's Latin for chaff. ,"40,400",Etymology,Language,"Language to Thomas Crapper invented ""crap""",Online Etymology Dictionary,http://www.etymonline.com/index.php?term=crap
Three Wise Men visited Jesus,"Nowhere in the Bible does it specify this. A mash up of Matthew 2 and Isaiah 60:1–3: ""The wise men visited Jesus as a child, in a house"".","1,250,000",Religion,Culture,Culture to Three Wise Men visited Jesus,Snopes,http://www.snopes.com/holidays/christmas/3wisemen.asp
Tongue-rolling is genetic,A famous 1940 paper claimed tongue rolling was at least partially genetic. Another famous 1975 paper refuted this. The debate still hasn't been settled.,"60,600",Body,Medicine,Medicine to Tongue-rolling is genetic,The Journal of Heredity,http://jhered.oxfordjournals.org/content/66/3/179.extract
US Constitution written on hemp,"Written on parchment, despite the best efforts of stoner revisionists to convince you otherwise. ","417,000",History,Culture,Culture to US Constitution written on hemp,Library of Congress (Quoted),http://philosophy.thecastsite.com/writings/davis3.html#7
Vaccines causes autism,Fraudulent research that's been shown as manipulated.,"213,000",Brain,Biology,Biology to Vaccines causes autism,BMJ,http://www.bmj.com/content/342/bmj.c7452.full
Vegetarians can't get enough protein,"Protein in eggs, beans, vegetables is easily enough. Vegans need B-12 supplements though.","215,000",Health,Medicine,Medicine to Vegetarians can't get enough protein,"Today's Dietician, Physician's Committee for Responsible Medicine, American Council on Exercise",http://www.todaysdietitian.com/newarchives/082510p20.shtml
Viking's Horned Helmets,Created by a costume designer for a 19th century Wagner opera.,"36,800",History,Culture,Culture to Viking's Horned Helmets,"Frank, Roberta. The Invention of the Viking Horned Helmet",http://www.scribd.com/doc/51267328/Frank-Invention-of-Horned-Helmet
Waking sleepwalkers is dangerous,"No, but they'll be really confused. Sleepwalkers are more likely to hurt themselves if they're not awoken. ","941,000",Health,Medicine,Medicine to Waking sleepwalkers is dangerous,"MedicineNet, National Sleep Foundation",http://www.medicinenet.com/sleepwalking/article.htm
Washington's wooden teeth,"A much more hygenic mix of gold, ivory, lead and horse and donkey teeth. No wood. ","41,400",History,Culture,Culture to Washington's wooden teeth,MSNBC/Smithsonian,http://www.msnbc.msn.com/id/6875436/ns/technology_and_science-science/t/george-washingtons-false-teeth-not-wooden/
Water conducts electricity,"Water itself is actually an insulator. It's also a great solvent. The substances it dissolves (salt etc.) contain ions, which do conduct electricity.","28,400,000",Science,Science,Science to Water conducts electricity,The USGS Water Science School,http://water.usgs.gov/edu/electrical-conductivity.html
We have 5 senses,"We actually have close to 20 including balance, pain, movement, hunger, thirst, etc.","507,000",Science,Science,Science to We have 5 senses,"Discovery Health, Harvard",http://tlc.howstuffworks.com/family/question242.htm
We only use 10% of our brains,"Metaphor that's been misunderstood; not all neurons are always firing, but inactive cells are still important.","123,000",Brain,Biology,Biology to We only use 10% of our brains,Skeptical Inquirer,http://www.csicop.org/si/show/the_ten-percent_myth/
You can get high from banana peel,"A hoax, perpetuated through the Internet. ","3,390,000",Drugs,Medicine,Medicine to You can get high from banana peel,"NY Times, Straight Dope",http://eastvillage.thelocal.nytimes.com/2012/02/18/anatomy-of-the-great-banana-smoking-hoax-of-1967/
You have to say if you're a cop,US Police working entrapment law do not have to identify themselves. A hollywood-induced myth. ,"436,000",Law,Culture,Culture to You have to say if you're a cop,"National Criminal Justice Review, Law Blog, Snopes",https://www.ncjrs.gov/App/publications/Abstract.aspx?id=141835
Birth order has an effect on personality ,"Birth order has a minor effect on intelligence, but not on personality traits.","2,270,000",Science,Science,Science to Birth order has an effect on personality ,Mainz and Leipzig universities,https://www.uni-mainz.de/presse/19669_ENG_HTML.php
